Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"CRESTANA, Maria Fazanelli","SANTOS, Cibele Araujo Camargo Marques dos","CARDOSO, Suely Campos","LOMBARDI, Valeria de Vilhena","SANCHES, Fabiola Rizzo","ROSA, José Balbino",,Seminário Nacional de Bibliotecas Universitárias (SNBU),2012
"CRESTANA, Maria Fazanelli  ","SANTOS, Cibele Araujo Camargo Marques dos","CARDOSO, Suely Campos","BATISTA, Gildete de Oliveira","SOBRAL, Renato Machado de",,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2012
"CÔRTES, Pedro Luiz",,,,,,,International Conference on Solid Waste Technology and Management,2013
"CÔRTES, Pedro Luiz ",,,,,,,ISWA World Solid Waste Congress,2012
"CÔRTES, Pedro Luiz","SOUZA, Vanessa Victor da Cruz de","CUEVAS, Thaís de Biasi",,,,,Encontro Internacional sobre Gestão Empresarial e Meio Ambiente (ENGEMA),2015
"CÔRTES, Pedro Luiz","MORETTI, Sergio Luiz do Amaral",,,,,,Conferência de Gestão e Contabilidade Ambiental (GECAMB),2012
"CÔRTES, Pedro Luiz ","MORETTI, Sergio Luiz do Amaral","RUIZ, Mauro Silva","AGUIAR, Alexandre de Oliveira e",,,,International Symposium on Energy from Biomass and Waste,2012
"CÔRTES, Pedro Luiz ","LUIZ FILHO, Geraldo","VIVAN, Antonio Marcos","FARIA, Thiago Marcondes",,,,Seminários em Administração- FEA USP,2013
"CÔRTES, Pedro Luiz","FARIA, Thiago Marcondes",,,,,,Encontro Internacional sobre Gestão Empresarial e Meio Ambiente (ENGEMA),2013
"CÔRTES, Pedro Luiz","DIAS, Antonio Jose Guerner","PASCHOALIN FILHO, João Alexandre",,,,,Conferência de Gestão e Contabilidade Ambiental (GECAMB),2012
"CÔRTES, Pedro Luiz ","DIAS, Antonio Jose Guerner","PASCHOALIN FILHO, João Alexandre",,,,,International Conference on Solid Waste Technology and Management,2013
"CÔRTES, Pedro Luiz","DIAS, Antonio Jose Guerner","FERNANDES, Maria Eduarda ","PEREIRA, Ingrid Caroline Cavalcante","BARBOSA, Tainara dos Santos",,,Encontro da ANPAD ,2015
"CÔRTES, Pedro Luiz","AGUIAR, Alexandre de Oliveira e","RUIZ, Mauro Silva","TEIXEIRA, Cláudia Echevenguá ",,,,ISWA World Solid Waste Congress,2012
"CHAVES, Elisabete C. J.","GALEGALE, Napoleão Verardi","AZEVEDO, Marilia Macorin","CÔRTES, Pedro Luiz",,,,International Conference on Information Systems and Technology Management (CONTECSI),2015
"CAVALCANTE, Caroline Pazini","SILVA, José Fernando Modesto da",,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2013
"CAPOBIANCO, Lígia","SAKATA, Marici Cristine Gramacho","RICCIO, Edson Luiz","PALETTA, Francisco Carlos","BERWANGER, Sthefan",,,International Conference on Information Systems and Technology Management (CONTECSI),2015
"BERNARDELLI JR., José Maria ","PASSARELLI, Brasilina",,,,,,Congresso Brasileiro de Ciências da Comunicação,2013
"BORBA, Edjane Maria Leite Pereira ","OLIVEIRA, Maria José Bezerra","CAVALCANTI, Vanuzia Lima Brito","BORBA, Maria Regina Leite Pereira","FRANCELIN, Marivalde Moacir",,,"Encontro Regional dos Estudantes de Biblioteconomia, Documentação, Ciência da Informação e Gestão da Informação (EREBD N NE)",2011
"BIANCHI, Paulo Henrique","PALETTA, Francisco Carlos",,,,,,International Nuclear Atlantic Conference (INAC),2011
"BEVILACQUA, Gabriel Moore Forell ","GROSSMANN, Martin",,,,,,Seminário Serviços e Informação em Museus,2012
"BERNARDELLI JR., José Maria ","CÔRTES, Pedro Luiz","RUIZ, Mauro Silva",,,,,Encontro Internacional sobre Gestão Empresarial e Meio Ambiente (ENGEMA),2013
