idPeriodico,nome,avaliacao,webqualis,classificacao
253,Revista da Associação Brasileira de Pesquisadores(as) Negros(as) (ABPN),Comunicação e Informação,B3,Nacional
83,Revista de Economia e Administração (Impresso),Interdisciplinar,B3,Nacional
307,Revista de História Regional,Interdisciplinar,B3,Nacional
234,Revista Pedagógica,Interdisciplinar,B3,Nacional
130,Revista Produção Online,Interdisciplinar,B3,Nacional
53,RevistaMaracanan,Comunicação e Informação,B3,Nacional
326,Rua (UNICAMP),Comunicação e Informação,B3,Nacional
75,Série-Estudos (UCDB),Interdisciplinar,B3,Nacional
286,Tecnologias de Administração e Contabilidade,Interdisciplinar,B3,Nacional
67,Temas sobre Desenvolvimento,Interdisciplinar,B3,Nacional
108,Teoria & Pesquisa (on line),Comunicação e Informação,B3,Nacional
